Time_ms,Cov_Total_Pct,Cov_Sunny_Pct,Cov_Shady_Pct,Eff_Total_AvgNodes,Eff_Sunny_AvgNodes,Eff_Shady_AvgNodes,Avg_Prediction_Error_V
0,0.00,0.00,0.00,nan,nan,nan,0.0000
1000,34.47,30.86,40.12,1.1240,1.1105,1.1403,0.0000
2000,56.90,51.23,65.80,1.2770,1.2281,1.3368,0.0000
3000,68.49,65.92,72.53,1.3825,1.3537,1.4235,0.0000
4000,84.21,84.33,84.02,1.6041,1.6118,1.5920,0.0000
5000,89.17,90.23,87.50,1.7279,1.7576,1.6800,0.0000
6000,95.76,96.67,94.35,2.0310,2.0754,1.9596,0.0000
7000,98.25,98.50,97.87,2.2334,2.2570,2.1960,0.0000
8000,99.71,99.69,99.72,2.5412,2.5443,2.5363,0.0000
9000,99.90,99.92,99.87,2.6604,2.6919,2.6108,0.0000
10000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
11000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
12000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
13000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
14000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
15000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
16000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
17000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
18000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
19000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
20000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
21000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
22000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
23000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
24000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
25000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
26000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
27000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
28000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
29000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
30000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
31000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
32000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
33000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
34000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
35000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
36000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
37000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
38000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
39000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
40000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
41000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
42000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
43000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
44000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
45000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
46000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
47000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
48000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
49000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
50000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
51000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
52000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
53000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
54000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
55000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
56000,99.98,99.99,99.96,2.7722,2.7959,2.7350,0.0000
57000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
58000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
59000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
60000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
61000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
62000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
63000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
64000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
65000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
66000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
67000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
68000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
69000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
70000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
71000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
72000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
73000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
74000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
75000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
76000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
77000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
78000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
79000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
80000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
81000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
82000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
83000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
84000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
85000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
86000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
87000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
88000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
89000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
90000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
91000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
92000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
93000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
94000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
95000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
96000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
97000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
98000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
99000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
100000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
101000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
102000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
103000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
104000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
105000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
106000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
107000,99.96,99.97,99.96,2.7328,2.7431,2.7167,0.0000
108000,99.94,99.94,99.95,2.7162,2.7218,2.7074,0.0000
109000,99.94,99.94,99.95,2.7162,2.7218,2.7074,0.0000
110000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
111000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
112000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
113000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
114000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
115000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
116000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
117000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
118000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
119000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
120000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
121000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
122000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
123000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
124000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
125000,99.93,99.93,99.91,2.6896,2.7056,2.6645,0.0000
126000,99.88,99.88,99.88,2.6429,2.6430,2.6428,0.0000
127000,99.88,99.88,99.88,2.6429,2.6430,2.6428,0.0000
128000,99.88,99.88,99.88,2.6429,2.6430,2.6428,0.0000
129000,99.88,99.88,99.88,2.6429,2.6430,2.6428,0.0000
130000,99.88,99.88,99.88,2.6429,2.6430,2.6428,0.0000
131000,99.88,99.88,99.88,2.6429,2.6430,2.6428,0.0000
132000,99.88,99.88,99.88,2.6429,2.6430,2.6428,0.0000
133000,99.88,99.88,99.88,2.6429,2.6430,2.6428,0.0000
134000,99.88,99.88,99.88,2.6429,2.6430,2.6428,0.0000
135000,99.88,99.88,99.88,2.6429,2.6430,2.6428,0.0000
136000,99.88,99.88,99.88,2.6429,2.6430,2.6428,0.0000
137000,99.88,99.88,99.88,2.6429,2.6430,2.6428,0.0000
138000,99.84,99.86,99.81,2.6129,2.6274,2.5902,0.0000
139000,99.84,99.86,99.81,2.6129,2.6274,2.5902,0.0000
140000,99.84,99.86,99.81,2.6129,2.6274,2.5902,0.0000
141000,99.84,99.86,99.81,2.6129,2.6274,2.5902,0.0000
142000,99.84,99.86,99.81,2.6129,2.6274,2.5902,0.0000
