Time(ms),Voltage(V),Current(mA),Power(mW),Mode
1278,5.06,104.30,528.18,1
1291,5.07,100.00,507.20,1
1303,5.07,103.50,524.95,1
1315,5.07,103.90,526.57,1
1328,5.07,103.50,524.54,1
1340,5.07,99.10,502.64,1
1353,5.07,100.10,507.71,1
1365,5.07,103.90,526.57,1
1378,5.07,103.70,525.97,1
1390,5.08,98.80,501.51,1
1402,5.07,103.80,526.47,1
1415,5.07,103.80,526.06,1
1427,5.07,103.70,525.55,1
1440,5.07,99.60,505.17,1
1452,5.07,103.90,526.98,1
1464,5.07,103.90,526.57,1
1477,5.07,103.70,525.55,1
1489,5.07,100.00,507.20,1
1502,5.07,105.10,533.07,1
1514,5.07,103.60,525.04,1
1526,5.07,103.50,524.54,1
1539,5.08,99.10,503.03,1
1551,5.07,104.00,527.49,1
1564,5.07,104.10,528.00,1
1576,5.07,99.30,503.25,1
1588,5.07,99.40,504.16,1
1601,5.07,104.80,531.13,1
1613,5.07,103.20,523.02,1
1625,5.07,99.70,505.68,1
1638,5.07,100.20,508.21,1
1650,5.07,103.80,526.06,1
1663,5.07,103.90,526.57,1
1675,5.07,100.00,507.20,1
1687,5.07,104.30,529.01,1
1700,5.07,103.60,525.04,1
1712,5.07,103.90,526.57,1
1725,5.07,100.10,507.71,1
1737,5.07,104.30,529.01,1
1749,5.07,104.60,530.11,1
1762,5.07,103.70,525.55,1
1774,5.07,99.40,504.16,1
1787,5.07,104.20,528.09,1
1799,5.07,104.60,530.11,1
1811,5.07,104.20,528.09,1
1824,5.08,99.10,503.03,1
1836,5.06,103.90,526.15,1
1849,5.07,103.70,525.97,1
1861,5.07,98.80,500.72,1
1873,5.08,98.80,501.51,1
1886,5.07,103.60,525.04,1
1898,5.07,104.40,529.10,1
1911,5.07,103.70,525.55,1
1923,5.08,101.90,517.24,1
1935,5.07,104.10,528.00,1
1948,5.07,103.40,524.03,1
1960,5.07,99.10,502.24,1
1973,5.07,103.70,525.55,1
1985,5.07,103.70,525.55,1
1997,5.07,104.90,531.63,1
2010,5.07,98.80,500.72,1
2022,5.07,103.70,525.55,1
2035,5.07,105.30,533.66,1
2047,5.07,107.00,542.28,1
2059,5.07,98.90,501.62,1
2072,5.07,104.10,527.58,1
2084,5.07,104.30,528.59,1
2097,5.07,104.90,531.63,1
2109,5.08,99.10,503.03,1
2121,5.06,105.70,535.26,6
2134,4.97,151.90,755.25,6
2146,5.07,101.00,512.27,6
2159,5.08,86.50,439.42,7
2171,5.08,91.60,465.33,7
2183,5.08,91.20,463.30,7
2196,5.08,89.90,457.05,7
2208,5.08,87.00,442.31,7
2220,5.08,91.30,463.80,7
2233,5.08,92.00,467.73,7
2245,5.08,86.40,439.26,7
2257,5.08,96.60,490.73,7
2270,5.07,102.50,519.88,7
2282,5.07,101.00,512.27,7
2294,5.07,99.60,505.17,7
2307,5.07,100.00,507.20,7
2319,5.07,100.80,511.26,7
2332,5.07,101.30,513.79,7
2344,5.07,96.70,490.46,7
2356,5.08,100.60,510.65,7
2369,5.07,100.80,511.26,7
2381,5.07,100.90,511.76,7
2394,5.08,95.70,485.77,7
2406,5.07,99.10,502.64,7
2418,5.08,100.70,511.15,7
2431,5.07,100.80,511.26,7
2443,5.08,96.30,488.82,7
2455,5.07,100.70,510.75,7
2468,5.07,100.90,511.76,7
2480,5.07,100.50,509.74,7
2493,5.08,95.90,486.79,7
2505,5.07,101.90,516.84,7
2517,5.07,100.70,510.75,7
2530,5.07,100.70,510.75,7
2542,5.08,95.70,485.77,7
2555,5.07,101.00,512.27,7
2567,5.07,100.70,510.35,7
2579,5.07,99.20,503.14,7
2592,5.08,96.00,487.30,7
2604,5.07,101.00,512.27,7
2616,5.07,101.90,516.84,7
2629,5.07,96.50,489.45,7
2641,5.08,95.90,486.79,7
2654,5.07,101.00,512.27,7
2666,5.07,101.00,512.27,7
2678,5.08,98.50,499.99,7
2691,5.08,100.60,510.65,7
2703,5.07,100.90,511.76,7
2716,5.07,102.00,517.34,7
2728,5.07,96.00,486.91,7
2740,5.07,101.40,514.30,7
2753,5.07,101.50,514.81,7
2765,5.07,101.80,516.33,7
2778,5.08,95.90,486.79,7
2790,5.06,102.30,518.05,7
2802,5.07,100.70,510.35,7
2815,5.07,100.80,511.26,7
2827,5.08,95.70,485.77,7
2840,5.07,101.00,512.27,7
2852,5.07,100.50,509.74,7
2864,5.07,100.70,510.75,7
2877,5.08,96.40,489.33,7
2889,5.07,101.10,512.78,7
2901,5.07,101.50,514.81,7
2914,5.07,101.80,515.92,7
2926,5.08,99.30,504.05,7
2939,5.07,101.00,511.87,7
2951,5.07,101.20,512.88,7
2963,5.07,98.50,499.59,7
2976,5.08,100.30,509.12,7
2988,5.07,100.70,510.75,7
3001,5.07,103.20,523.02,7
3013,5.07,96.50,489.45,7
3025,5.08,97.00,492.37,7
3038,5.07,102.70,520.48,7
3050,5.07,101.50,514.40,7
3063,5.08,98.70,501.00,7
3075,5.07,101.00,512.27,7
3087,5.07,100.50,509.74,7
3100,5.07,101.10,512.78,7
3112,5.08,96.00,487.30,7
3124,5.07,101.80,516.33,7
3137,5.07,102.60,519.98,7
3149,5.07,101.00,512.27,7
3162,5.08,96.80,491.36,7
3174,5.07,101.00,512.27,7
3186,5.07,100.70,510.75,7
3199,5.07,100.80,510.85,7
3211,5.08,95.80,486.28,7
3224,5.07,101.60,515.32,7
3236,5.07,100.80,511.26,7
3248,5.07,98.20,498.07,7
3261,5.07,96.10,487.42,7
3273,5.07,101.30,513.79,7
3286,5.07,101.20,513.29,7
3298,5.07,101.20,513.29,7
3310,5.08,96.10,488.19,7
3323,5.07,100.70,510.75,7
3335,5.07,100.50,509.33,7
3348,5.08,97.60,495.42,7
3360,5.07,100.90,511.76,7
3372,5.07,101.10,512.78,7
3385,5.07,101.10,512.78,7
3398,5.08,95.30,483.74,7
3411,5.07,101.60,515.32,7
3423,5.07,99.90,506.69,7
3435,5.07,97.50,494.52,7
3448,5.08,99.20,503.54,7
3460,5.08,101.00,512.68,7
3472,5.07,100.90,511.76,7
3485,5.07,101.70,515.82,7
3497,5.08,99.50,505.06,7
