Time(ms),Voltage(V),Current(mA),Power(mW),Mode
4424,4.93,95.20,469.53,7
4436,4.93,96.00,473.47,7
4448,4.93,95.60,471.50,7
4461,4.93,95.50,471.01,7
4473,4.93,95.30,470.02,7
4485,4.93,96.00,473.09,7
4498,4.93,96.60,476.43,7
4510,4.93,96.40,475.06,7
4522,4.93,96.10,473.97,7
4535,4.93,95.20,469.15,7
4547,4.93,96.80,477.42,7
4559,4.93,96.30,474.95,7
4572,4.93,95.90,472.98,7
4584,4.93,96.00,473.47,7
4596,4.93,95.00,468.54,7
4609,4.93,95.30,470.02,7
4621,4.93,96.20,474.46,7
4633,4.93,95.50,471.01,7
4646,4.93,95.10,469.03,7
4658,4.93,96.10,473.58,7
4670,4.93,95.10,468.65,7
4682,4.93,96.10,473.97,7
4695,4.94,95.90,473.36,7
4707,4.93,95.30,470.02,7
4719,4.93,95.20,469.53,7
4732,4.93,95.60,471.50,7
4744,4.94,96.10,474.35,7
4756,4.93,95.60,471.50,7
4769,4.93,94.90,468.05,7
4781,4.93,95.00,468.54,7
4793,4.93,95.70,471.99,7
4806,4.93,95.50,470.62,7
4818,4.93,95.60,471.50,7
4830,4.93,95.20,469.15,7
4843,4.93,95.60,471.50,7
4855,4.93,96.20,474.07,7
4867,4.92,95.10,468.27,7
4880,4.93,95.30,470.02,7
4892,4.93,95.20,469.53,7
4904,4.93,95.40,470.51,7
4917,4.93,95.20,469.53,7
4929,4.93,95.10,469.03,7
4941,4.93,95.10,469.03,7
4954,4.93,95.20,469.53,7
4966,4.93,95.30,470.02,7
4978,4.93,96.00,473.47,7
4991,4.93,96.50,475.94,7
5003,4.93,95.70,471.99,7
5015,4.93,95.20,469.53,7
5028,4.94,95.10,469.41,7
5040,4.93,95.30,470.02,7
5052,4.93,95.10,468.65,7
5065,4.93,95.30,470.02,7
5077,4.93,95.30,470.02,7
5089,4.93,95.60,471.12,7
5102,4.93,95.30,470.02,7
5114,4.93,95.50,471.01,7
5126,4.93,95.50,471.01,7
5139,4.93,96.00,473.09,7
5151,4.94,95.60,471.88,7
5163,4.93,95.20,469.53,7
5175,4.93,95.00,468.54,7
5188,4.93,96.00,473.47,7
5200,4.93,95.70,471.99,7
5212,4.93,95.30,470.02,7
5225,4.92,97.80,481.57,7
5237,4.93,100.10,493.69,7
5249,4.93,95.50,471.01,7
5262,4.93,95.20,469.53,7
5274,4.93,95.40,470.51,7
5286,4.93,95.70,471.99,7
5299,4.93,96.40,475.44,7
5311,4.93,95.20,469.53,7
5323,4.93,95.10,469.03,7
5336,4.94,95.40,470.89,7
5348,4.93,95.20,469.53,7
5360,4.93,96.00,473.47,7
5373,4.92,96.30,474.18,7
5385,4.93,95.20,469.53,7
5397,4.93,95.00,468.54,7
5410,4.93,95.10,469.03,7
5422,4.93,95.90,472.98,7
5434,4.93,96.00,473.47,7
5447,4.93,95.30,470.02,7
5459,4.93,95.20,469.53,7
5471,4.93,95.40,470.51,7
5483,4.93,96.10,473.58,7
5496,4.94,95.10,469.41,7
5508,4.93,95.80,472.49,7
5520,4.93,95.80,472.49,7
5533,4.93,95.30,469.64,7
5545,4.93,95.30,469.64,7
5557,4.93,95.80,472.10,7
5570,4.92,99.70,490.52,7
5582,4.95,89.10,441.22,7
5594,4.92,98.80,486.49,2
5607,4.93,97.80,481.96,2
5619,4.92,98.30,484.03,2
5631,4.92,99.00,487.48,2
5644,4.92,98.70,486.00,2
5656,4.92,99.50,489.94,2
5668,4.92,98.70,485.60,2
5681,4.92,99.90,491.51,2
5693,4.92,98.80,486.49,2
5705,4.92,98.80,486.49,2
5718,4.92,98.60,485.51,2
5730,4.92,99.50,489.54,2
5742,4.92,98.80,486.49,2
5754,4.92,98.50,485.01,2
5767,4.92,98.80,486.49,2
5779,4.92,98.30,484.03,2
5791,4.92,99.50,489.94,2
5804,4.92,99.10,487.57,2
5816,4.92,99.60,490.03,2
5828,4.92,99.60,490.43,2
5841,4.92,98.60,485.51,2
5853,4.92,98.50,485.01,2
5865,4.92,98.50,485.01,2
5878,4.92,99.80,491.02,2
5890,4.92,99.00,487.08,2
5902,4.92,98.70,486.00,2
5914,4.92,99.40,489.45,2
5927,4.92,98.40,484.52,2
5939,4.92,98.80,486.10,2
5951,4.92,99.30,488.95,2
5964,4.92,99.00,487.48,2
5976,4.92,98.50,485.01,2
5988,4.92,99.90,491.91,2
6001,4.92,98.80,486.49,2
6013,4.92,98.80,486.49,2
6025,4.92,98.70,486.00,2
6038,4.93,98.50,485.41,2
6050,4.92,99.10,487.57,2
6062,4.92,98.80,486.49,2
6075,4.92,98.70,486.00,2
6087,4.92,98.70,486.00,2
6099,4.92,100.10,492.49,2
6112,4.92,98.60,485.51,2
6124,4.92,99.60,490.03,2
6136,4.92,99.40,489.45,2
6149,4.92,98.70,486.00,2
6161,4.92,99.30,488.95,2
6173,4.92,98.70,486.00,2
6186,4.92,99.80,491.02,2
6198,4.93,98.70,486.39,2
6210,4.92,98.70,486.00,2
6223,4.92,98.80,486.49,2
6235,4.92,98.60,485.51,2
6247,4.92,98.80,486.49,2
6260,4.92,99.80,491.02,2
6272,4.92,98.80,486.49,2
6284,4.92,98.70,486.00,2
6297,4.92,99.70,490.92,2
6309,4.92,98.60,485.11,2
6321,4.92,99.60,490.03,2
6334,4.92,98.80,486.49,2
6346,4.92,98.80,486.10,2
6358,4.92,98.70,486.00,2
6370,4.92,98.80,486.49,2
6383,4.92,99.10,487.57,2
6395,4.92,98.50,485.01,2
6407,4.92,99.50,489.94,2
6420,4.92,100.70,495.44,2
6432,4.92,99.30,488.16,2
6444,4.92,99.70,490.52,2
6457,4.92,98.90,486.98,2
6469,4.92,99.50,489.54,2
6481,4.92,98.60,485.51,2
6494,4.92,99.60,490.03,2
6506,4.92,98.60,485.11,2
6518,4.92,98.50,485.01,2
6531,4.92,99.70,490.92,2
6543,4.92,98.70,486.00,2
6555,4.92,99.10,487.97,2
6568,4.92,99.80,491.02,2
6580,4.92,98.60,485.51,2
6592,4.92,99.50,489.94,2
6604,4.92,99.30,488.56,2
6617,4.92,99.00,487.08,2
6629,4.92,99.70,490.92,2
6641,4.92,98.60,485.51,2
6654,4.92,99.00,487.08,2
6666,4.92,98.80,486.10,2
6678,4.92,98.30,483.64,2
6692,4.92,101.50,498.97,2
6704,4.92,99.70,490.92,2
6716,4.92,100.00,492.40,2
6729,4.92,98.70,485.60,2
6741,4.92,98.70,486.00,2
6754,4.92,99.00,487.48,2
6766,4.92,98.80,486.49,2
6778,4.93,98.40,484.92,2
6790,4.92,98.70,486.00,2
6803,4.92,98.50,484.62,2
6815,4.92,99.80,491.02,2
6827,4.93,98.70,486.39,2
6840,4.92,99.00,487.48,2
6852,4.92,99.20,488.46,2
6864,4.92,98.90,486.98,2
6877,4.92,98.70,485.60,2
6889,4.92,98.80,486.49,2
6901,4.92,100.00,492.00,2
6914,4.92,98.80,486.49,2
6926,4.92,98.60,485.51,2
6938,4.92,99.00,487.08,2
6950,4.92,99.10,487.97,2
6963,4.92,98.70,486.00,2
6975,4.92,99.20,488.46,2
6987,4.92,99.10,487.97,2
7000,4.92,98.60,485.51,2
7012,4.92,99.70,490.52,2
7024,4.92,98.80,486.49,2
7037,4.92,98.70,486.00,2
7049,4.92,98.60,485.51,2
7061,4.92,98.80,486.49,2
7074,4.92,98.70,485.60,2
7086,4.92,98.90,486.98,2
7098,4.92,99.00,487.08,2
7110,4.92,99.20,488.06,2
7123,4.92,99.30,488.56,2
7135,4.92,98.80,486.49,2
7147,4.92,98.80,486.10,2
7160,4.92,99.70,490.92,2
7172,4.92,99.10,487.97,2
7184,4.65,201.90,938.43,6
7197,4.93,95.90,472.98,6
7209,4.96,87.40,433.15,7
7221,4.96,85.90,425.72,7
7234,4.96,85.90,426.06,7
7246,4.96,85.60,424.23,7
7258,4.93,95.40,470.51,7
7270,4.93,95.30,470.02,7
7283,4.93,96.50,475.94,7
7295,4.94,95.20,469.91,7
7307,4.94,95.40,470.89,7
7320,4.93,96.40,475.44,7
7332,4.93,95.70,471.99,7
7344,4.93,95.80,472.49,7
7357,4.93,96.00,473.47,7
7369,4.93,95.60,471.50,7
7381,4.94,95.90,473.36,7
7394,4.93,95.60,471.12,7
7406,4.93,96.00,473.47,7
7418,4.94,95.20,469.91,7
7430,4.93,96.30,474.95,7
7443,4.93,95.20,469.53,7
7455,4.94,95.50,471.39,7
7467,4.93,97.50,480.87,7
7480,4.94,95.70,472.38,7
7492,4.93,96.30,474.95,7
7504,4.93,95.90,472.98,7
7517,4.93,96.80,477.42,7
7529,4.93,95.60,471.50,7
7541,4.93,96.80,477.42,7
7554,4.93,95.70,471.99,7
7566,4.94,95.50,471.39,7
7578,4.93,95.80,472.49,7
7590,4.93,97.90,482.84,7
7603,4.93,95.60,471.50,7
7615,4.93,95.50,471.01,7
7627,4.93,96.50,475.94,7
7640,4.93,96.50,475.94,7
7652,4.93,95.40,470.51,7
7664,4.93,95.30,470.02,7
7677,4.93,95.30,470.02,7
7689,4.93,96.10,473.97,7
7701,4.93,97.20,479.00,7
7714,4.93,95.30,470.02,7
7726,4.93,95.90,472.98,7
7738,4.93,96.10,473.58,7
7750,4.93,95.60,471.50,7
7763,4.93,96.00,473.47,7
7775,4.93,96.30,474.95,7
7787,4.93,95.80,472.49,7
7800,4.93,96.70,476.54,7
7812,4.94,95.20,469.91,7
7824,4.93,96.60,476.04,7
7837,4.93,95.80,472.49,7
7849,4.93,95.40,470.51,7
7861,4.93,95.50,471.01,7
7873,4.93,96.00,473.47,7
7886,4.93,95.50,471.01,7
7898,4.93,96.20,474.46,7
7910,4.93,95.60,471.50,7
7923,4.93,96.50,475.94,7
7935,4.93,96.90,477.91,7
7947,4.93,96.30,474.95,7
7960,4.93,95.50,471.01,7
7972,4.93,95.90,472.98,7
7984,4.93,95.50,471.01,7
7997,4.93,95.30,470.02,7
8009,4.94,95.30,470.40,7
8021,4.93,95.60,471.50,7
8033,4.92,96.60,475.66,7
8046,4.93,94.30,465.09,7
8058,4.94,95.40,470.89,7
8070,4.92,99.00,487.48,7
8083,4.93,96.50,475.55,7
8095,4.93,95.30,470.02,7
8107,4.94,96.60,476.82,7
8120,4.93,95.10,469.03,7
8132,4.93,96.70,476.54,7
8144,4.93,95.50,471.01,7
8156,4.93,95.50,470.62,7
8169,4.93,96.40,475.44,7
8181,4.93,95.60,471.50,7
8193,4.92,97.40,479.60,7
8206,4.93,96.40,475.44,7
8218,4.93,95.50,471.01,7
8230,4.93,95.80,472.49,7
8243,4.93,95.70,471.99,7
