Time(ms),Voltage(V),Current(mA),Power(mW),Mode
2173,4.92,92.20,453.26,7
2186,4.92,92.00,452.27,7
2198,4.91,92.00,451.90,7
2210,4.91,93.60,459.76,7
2223,4.91,92.20,452.52,7
2235,4.91,93.30,457.92,7
2247,4.92,92.00,452.27,7
2260,4.91,92.10,452.40,7
2272,4.91,92.00,451.90,7
2284,4.91,93.20,457.80,7
2297,4.91,93.60,459.76,7
2309,4.91,92.30,453.38,7
2321,4.92,91.90,452.15,7
2334,4.92,91.80,451.29,7
2346,4.92,92.00,452.27,7
2358,4.91,91.90,451.41,7
2371,4.91,93.20,457.80,7
2383,4.92,92.40,454.24,7
2395,4.92,92.00,452.27,7
2408,4.92,92.20,453.26,7
2420,4.92,92.30,453.75,7
2432,4.92,92.30,453.75,7
2445,4.92,92.20,453.26,7
2457,4.91,92.50,454.36,7
2469,4.91,92.30,453.38,7
2482,4.91,92.30,453.38,7
2494,4.91,92.40,453.87,7
2506,4.91,91.40,448.96,7
2519,4.91,93.20,457.80,7
2531,4.91,92.20,452.89,7
2543,4.91,93.30,458.29,7
2556,4.92,92.50,454.73,7
2568,4.92,92.20,453.26,7
2580,4.92,92.10,452.76,7
2593,4.91,91.20,447.97,7
2605,4.91,92.60,454.85,7
2617,4.92,92.00,452.27,7
2630,4.91,92.00,451.90,7
2642,4.92,92.50,454.73,7
2654,4.91,94.00,461.73,7
2667,4.92,92.30,453.75,7
2679,4.91,94.20,462.71,7
2691,4.91,92.50,454.36,7
2704,4.92,92.70,455.71,7
2716,4.92,92.20,453.26,7
2728,4.92,92.80,456.20,7
2741,4.91,92.90,456.32,7
2753,4.91,92.20,452.52,7
2765,4.92,92.20,453.26,7
2778,4.92,92.20,453.26,7
2790,4.91,92.60,454.85,7
2802,4.91,92.40,453.87,7
2815,4.91,92.00,451.90,7
2827,4.91,93.90,460.86,7
2839,4.90,94.70,464.41,7
2852,4.92,96.30,473.41,7
2864,4.91,91.90,451.41,7
2876,4.91,92.50,454.36,7
2889,4.92,92.30,453.75,7
2901,4.91,92.20,452.89,7
2913,4.91,92.10,452.40,7
2926,4.91,92.40,453.87,7
2938,4.91,92.20,452.52,7
2950,4.92,92.00,452.27,7
2963,4.92,93.10,457.68,7
2975,4.91,92.00,451.90,7
2987,4.91,93.10,457.31,7
3000,4.92,92.10,452.76,7
3012,4.92,92.70,455.71,7
3024,4.92,92.10,452.76,7
3037,4.92,93.20,458.17,7
3049,4.92,92.10,452.76,7
3061,4.92,92.40,454.24,7
3074,4.92,92.20,453.26,7
3086,4.92,94.70,465.55,7
3098,4.92,91.90,451.78,7
3111,4.92,92.30,453.75,7
3123,4.92,92.70,455.71,7
3135,4.92,92.40,454.24,7
3148,4.92,91.90,451.78,7
3160,4.91,94.20,462.71,7
3172,4.91,93.40,458.78,7
3185,4.92,92.30,453.75,7
3197,4.91,92.90,456.32,7
3209,4.92,93.00,457.19,7
3222,4.92,93.90,461.61,7
3234,4.91,91.90,451.41,7
3246,4.91,92.40,453.87,7
3259,4.92,92.20,453.26,7
3271,4.91,92.60,454.85,7
3283,4.91,92.30,453.38,7
3296,4.92,92.00,452.27,7
3308,4.92,92.20,453.26,7
3320,4.91,94.30,463.20,7
3333,4.92,92.10,452.76,7
3345,4.92,91.90,451.78,7
3357,4.91,92.30,453.38,7
3370,4.91,93.10,457.31,7
3383,4.92,92.30,453.75,7
3395,4.91,93.20,457.43,7
3408,4.91,92.50,454.36,7
3420,4.92,93.10,457.68,7
3432,4.92,92.30,453.75,7
3445,4.92,92.10,452.76,7
3457,4.91,92.90,456.32,7
3469,4.91,92.30,453.01,7
3482,4.91,93.00,456.82,7
3494,4.92,92.30,453.75,7
3506,4.91,92.50,454.36,7
3519,4.91,92.90,456.32,7
3531,4.92,92.70,455.71,7
3543,4.91,92.60,454.85,7
3556,4.91,92.20,452.89,7
3568,4.91,93.50,459.27,7
3580,4.92,92.10,452.76,7
3593,4.91,92.20,452.89,7
3605,4.92,92.60,455.22,7
3617,4.91,93.10,457.31,7
3630,4.91,92.10,452.40,7
3642,4.92,92.50,454.73,7
3654,4.92,92.30,453.75,7
3667,4.92,92.60,455.22,7
3679,4.91,93.10,456.93,7
3691,4.92,92.10,452.76,7
