Time(ms),Voltage(V),Current(mA),Power(mW),Mode
3444,5.04,100.60,506.62,7
3457,5.04,96.30,485.74,7
3469,5.04,100.50,506.52,7
3481,5.04,99.90,503.10,7
3494,5.04,100.30,505.51,7
3506,5.04,95.30,480.69,7
3518,5.04,97.20,489.50,7
3531,5.04,100.40,506.02,7
3543,5.04,101.40,511.06,7
3556,5.04,95.50,481.70,7
3568,5.04,100.00,504.40,7
3580,5.04,100.30,505.11,7
3593,5.04,100.80,508.03,7
3605,5.04,95.60,482.21,7
3617,5.04,99.70,502.49,7
3630,5.04,100.50,506.52,7
3642,5.04,100.20,505.01,7
3655,5.05,96.50,487.13,7
3667,5.04,101.00,508.64,7
3679,5.04,100.80,508.03,7
3692,5.04,99.80,502.59,7
3704,5.04,96.20,485.23,7
3716,5.04,102.60,516.69,7
3729,5.04,100.40,505.61,7
3741,5.04,100.80,507.63,7
3754,5.05,95.40,481.58,7
3766,5.04,103.60,521.73,7
3778,5.04,101.80,512.66,7
3791,5.04,99.60,501.98,7
3803,5.04,99.10,499.46,7
3815,5.04,100.00,503.60,7
3828,5.04,101.60,511.66,7
3840,5.04,96.80,487.87,7
3852,5.04,95.80,483.22,7
3865,5.04,100.80,508.03,7
3877,5.04,100.70,507.53,7
3890,5.04,97.30,490.00,7
3902,5.04,100.90,508.94,7
3914,5.04,100.40,506.02,7
3927,5.04,100.80,507.63,7
3939,5.04,95.70,482.71,7
3951,5.04,97.20,489.50,7
3964,5.04,101.30,510.55,7
3976,5.04,101.20,509.64,7
3989,5.04,96.70,487.75,7
4001,5.04,100.10,504.50,7
4013,5.04,100.90,508.13,7
4026,5.04,99.70,502.49,7
4038,5.04,94.90,478.68,7
4050,5.04,102.50,516.60,7
4063,5.04,101.40,510.65,7
4075,5.04,100.10,504.10,7
4088,5.04,95.70,482.71,7
4100,5.04,100.90,508.13,7
4112,5.04,101.90,513.58,7
4125,5.04,99.30,500.47,7
4137,5.04,95.40,481.20,7
4149,5.04,101.30,510.15,7
4162,5.04,100.40,506.02,7
4174,5.04,100.30,505.51,7
4187,5.04,96.70,487.75,7
4199,5.04,100.70,507.53,7
4211,5.04,100.20,504.61,7
4224,5.04,98.90,498.06,7
4236,5.04,96.10,484.73,7
4248,5.04,101.00,508.64,7
4261,5.04,101.30,510.55,7
4273,5.04,95.20,479.81,7
4286,5.05,99.00,499.75,7
4298,5.04,100.30,505.51,7
