Time(ms),Voltage(V),Current(mA),Power(mW),Mode
4491,5.17,-0.40,-2.07,1
4503,5.17,-0.30,-1.55,1
4515,5.17,-0.60,-3.10,1
4527,5.17,-0.40,-2.07,1
4539,5.17,-0.20,-1.03,1
4551,5.17,-0.30,-1.55,1
4563,5.17,-0.20,-1.03,1
4575,5.17,-0.40,-2.07,1
4587,5.17,-0.40,-2.07,1
4599,5.17,-0.40,-2.07,1
4611,5.17,-0.30,-1.55,1
4623,5.17,-0.30,-1.55,1
4635,5.17,-0.20,-1.03,1
4647,5.17,-0.40,-2.07,1
4659,5.17,-0.10,-0.52,1
4671,5.17,0.00,0.00,1
4683,5.17,-0.50,-2.58,1
4695,5.17,-0.10,-0.52,1
4707,5.17,-0.20,-1.03,1
4719,5.17,-0.10,-0.52,1
4731,5.17,-0.30,-1.55,1
4743,5.17,-0.40,-2.07,1
4756,5.17,-0.30,-1.55,1
4768,5.17,-0.10,-0.52,1
4780,5.17,-0.30,-1.55,1
4792,5.17,-0.40,-2.07,1
4804,5.17,-0.20,-1.03,1
4816,5.17,-0.30,-1.55,1
4828,5.17,-0.30,-1.55,1
4840,5.17,-0.30,-1.55,1
4852,5.17,-0.30,-1.55,1
4864,5.17,-0.30,-1.55,1
4876,5.17,0.00,0.00,1
4888,5.17,-0.30,-1.55,1
4900,5.17,-0.40,-2.07,1
4912,5.17,-0.10,-0.52,1
4924,5.17,-0.50,-2.58,1
4936,5.17,-0.30,-1.55,1
4948,5.17,-0.40,-2.07,1
4960,5.17,-0.20,-1.03,1
4972,5.17,-0.30,-1.55,1
4984,5.17,-0.10,-0.52,1
4996,5.17,-0.20,-1.03,1
5008,5.17,-0.30,-1.55,1
5020,5.17,-0.40,-2.07,1
5032,5.17,-0.30,-1.55,1
5044,5.17,-0.30,-1.55,1
5056,5.17,-0.20,-1.03,1
5068,5.17,0.00,0.00,1
5080,5.17,-0.50,-2.58,1
5092,5.17,-0.20,-1.03,1
5104,5.17,-0.20,-1.03,1
5116,5.17,-0.20,-1.03,1
5128,5.17,-0.40,-2.07,1
5140,5.17,-0.10,-0.52,1
5152,5.17,0.00,0.00,1
5164,5.18,-0.30,-1.55,1
5176,5.17,-0.40,-2.07,1
5188,5.17,-0.40,-2.07,1
5200,5.17,-0.20,-1.03,1
5212,5.17,-0.10,-0.52,1
5224,5.17,-0.30,-1.55,1
5236,5.17,-0.30,-1.55,1
5248,5.17,-0.30,-1.55,1
5261,5.17,-0.30,-1.55,1
5273,5.17,-0.50,-2.59,1
5285,5.17,-0.10,-0.52,1
5297,5.17,-0.30,-1.55,1
5309,5.17,-0.20,-1.03,1
5321,5.17,-0.30,-1.55,1
5333,5.17,-0.20,-1.03,1
5345,5.17,-0.30,-1.55,1
5357,5.17,-0.30,-1.55,1
5369,5.17,-0.30,-1.55,1
5381,5.17,-0.40,-2.07,1
5393,5.17,-0.10,-0.52,1
5405,5.17,-0.50,-2.58,1
