Time(ms),Voltage(V),Current(mA),Power(mW),Mode
3458,5.06,97.30,492.34,7
3470,5.08,86.50,439.07,7
3483,5.08,87.10,442.12,7
3495,5.07,86.10,436.70,7
3507,5.07,86.30,437.71,7
3520,5.07,87.00,441.26,7
3532,5.07,86.40,438.22,7
3544,5.08,85.70,435.01,7
3557,5.06,95.60,484.12,7
3569,5.06,97.70,494.75,7
3581,5.06,97.90,495.77,7
3594,5.08,85.70,435.01,7
3606,5.08,86.90,441.10,7
3618,5.08,86.00,436.54,7
3631,5.08,86.60,439.58,7
3643,5.08,86.60,439.58,7
3655,5.07,85.80,435.18,7
3668,5.08,86.00,436.54,7
3680,5.08,86.00,436.54,7
3692,5.06,97.90,495.77,7
3705,5.06,97.50,493.35,7
3717,5.06,98.30,497.40,7
3729,5.08,85.60,434.51,7
3742,5.08,85.90,436.03,7
3754,5.07,86.40,438.22,7
3766,5.08,86.20,437.55,7
3779,5.07,89.60,454.45,7
3791,5.08,87.40,443.64,7
3803,5.07,86.60,439.24,7
3816,5.06,95.90,485.64,7
3828,5.07,86.80,440.25,7
3840,5.07,86.40,438.22,7
3853,5.08,86.40,438.57,7
3865,5.07,89.30,452.93,7
3877,5.08,86.00,436.54,7
3890,5.07,86.40,438.22,7
3902,5.08,85.70,435.01,7
3914,5.06,97.10,491.33,7
3927,5.06,88.70,448.82,7
3939,5.08,86.40,438.57,7
3951,5.08,86.30,438.06,7
3964,5.08,86.50,439.07,7
3976,5.08,86.00,436.54,7
3988,5.07,86.10,436.70,7
4001,5.07,87.10,441.77,7
4013,5.07,85.80,435.18,7
4025,5.06,95.50,483.61,7
4038,5.08,87.10,442.12,7
4050,5.08,86.20,437.55,7
4062,5.08,86.30,438.06,7
4075,5.07,86.30,437.71,7
4087,5.07,85.90,435.68,7
4099,5.07,85.70,434.67,7
4112,5.07,86.30,437.71,7
4124,5.07,86.30,437.71,7
4136,5.06,98.00,495.88,7
4149,5.06,97.90,495.77,7
4161,5.06,97.30,492.34,7
4173,5.07,85.60,434.16,7
4186,5.08,85.40,433.49,7
4198,5.07,86.40,438.22,7
4210,5.08,85.80,435.52,7
4223,5.07,87.00,441.26,7
4235,5.08,86.20,437.55,7
4247,5.08,86.40,438.57,7
4260,5.07,86.50,438.73,7
4272,5.06,97.90,495.37,7
4284,5.06,97.90,495.37,7
4297,5.07,85.90,435.68,7
4309,5.08,87.40,443.64,7
4321,5.07,86.60,439.24,7
4334,5.08,86.50,439.07,7
4346,5.07,87.10,441.77,7
4358,5.07,86.20,437.21,7
4371,5.08,86.30,438.06,7
4383,5.08,86.10,437.04,7
4395,5.06,97.80,494.87,7
4408,5.06,98.20,496.89,7
4420,5.06,97.80,494.87,7
4432,5.08,86.00,436.54,7
4445,5.07,85.80,435.18,7
4457,5.07,86.30,437.71,7
