Sensor_Type,Mode,Mode_Description,Execution_Count,Avg_Duration_per_Run_ms,Avg_Power_mW,Power_Std_mW,Energy_per_ms_mW,Total_Energy_per_Run_mJ,Layer_ID,FLOPs,Output_Bytes,FLOPs_per_ms,Energy_per_MFLOP_mJ
data/accel+gyro+mag,1,Layer 0,1,843.0,520.1655882352941,11.246429268465873,520.1655882352941,438499.5908823529,0.0,232800.0,400.0,276.15658362989325,1883589.307913887
data/accel+gyro+mag,2,Layer 1,1,1613.0,523.7510000000001,11.061639830352194,523.7510000000001,844810.3630000001,1.0,291000.0,320.0,180.40917544947303,2903128.395189004
data/accel+gyro+mag,3,Layer 2,1,2395.0,522.1252849740933,11.538533451667147,522.1252849740933,1250490.0575129536,2.0,436500.0,240.0,182.25469728601252,2864811.128322918
data/accel+gyro+mag,6,Transmission,3,33.0,673.7775,234.86482451158398,673.7775,22234.6575,,,,,
data/accel+gyro+mag,7,Sensing,2,3841.0,505.950564516129,13.918202752341324,505.950564516129,1943356.1183064515,,,,,
data/accel+gyro,2,Layer 1,1,1590.0,487.47410852713176,2.4802723553835464,487.47410852713176,775083.8325581395,1.0,291000.0,320.0,183.0188679245283,2663518.3249420603
data/accel+gyro,3,Layer 2,1,2345.0,488.3988947368421,2.848300958229203,488.3988947368421,1145295.4081578949,2.0,436500.0,240.0,186.1407249466951,2623815.3680593236
data/accel+gyro,4,Layer 3,1,3125.0,489.94786561264823,2.7383772041169023,489.94786561264823,1531087.0800395256,3.0,582000.0,160.0,186.24,2630733.8145009032
data/accel+gyro,5,Layer 4,1,3906.0,489.75977848101263,2.7150344991778526,489.75977848101263,1913001.6947468354,4.0,727500.0,80.0,186.25192012288787,2629555.5941537255
data/accel+gyro,6,Transmission,4,524.5,440.6587647058823,69.0676570040359,440.6587647058823,231125.52208823524,,,,,
data/accel+gyro,7,Sensing,5,13831.4,439.4797340710333,18.139392197277214,439.4797340710333,6078619.993830089,,,,,
data/accel_only,0,Idle (대기),2,505.0,414.96158536585375,2.0877328181027326,414.96158536585375,209555.60060975613,,,,,
data/accel_only,1,Layer 0,2,1264.5,472.5610731707318,4.838124415749028,472.5610731707318,597553.4770243904,0.0,232800.0,400.0,184.1043890865955,2566810.468317828
data/accel_only,2,Layer 1,3,1577.3333333333333,473.2457031249999,4.285287664316505,473.2457031249999,746466.2223958331,1.0,291000.0,320.0,184.4885883347422,2565176.021978808
data/accel_only,3,Layer 2,3,2364.6666666666665,472.52526956521746,2.8191637420007174,472.52526956521746,1117364.7540985509,2.0,436500.0,240.0,184.59261347617706,2559827.6153460504
data/accel_only,4,Layer 3,2,3156.5,473.59998046875,2.6971834623834523,473.59998046875,1494918.3383496094,3.0,582000.0,160.0,184.38143513385077,2568588.210222697
data/accel_only,5,Layer 4,2,3946.5,473.15876562500006,2.4696908643242548,473.15876562500006,1867321.0685390627,4.0,727500.0,80.0,184.34055492208284,2566764.3553801547
data/accel_only,6,Transmission,12,25.5,634.4888,223.3954578828018,634.4888,16179.464399999999,,,,,
data/accel_only,7,Sensing,13,3017.153846153846,458.5803018867925,3.891158087845822,458.5803018867925,1383607.3216081278,,,,,
data/gyro+mag,0,Idle (대기),2,500.0,458.74629629629635,10.966506673098369,458.74629629629635,229373.14814814818,,,,,
