CSV_File,Sensor_Type,Mode,Mode_Description,Duration_ms,Power_Mean_mW,Power_Std_mW,Power_Max_mW,Power_Min_mW,Total_Energy_mJ,Energy_per_ms_mW,Layer_ID,FLOPs,FLOPs_per_ms,Energy_per_MFLOP_mJ,Assumed_Bytes,Energy_per_Byte_uJ,Energy_3sec_mJ,Energy_3sec_J
eps32-c3-supermini_profiles_accel+gyro+mag.csv,accel+gyro+mag,1,Layer 0 (추론),843,520.1655882352941,11.246429268465873,542.28,500.72,438499.5908823529,520.1655882352941,0.0,232800.0,276.15658362989325,1883589.307913887,,,,
eps32-c3-supermini_profiles_accel+gyro+mag.csv,accel+gyro+mag,2,Layer 1 (추론),1613,523.7510000000001,11.061639830352194,548.94,502.64,844810.3630000001,523.7510000000001,1.0,291000.0,180.40917544947303,2903128.395189004,,,,
eps32-c3-supermini_profiles_accel+gyro+mag.csv,accel+gyro+mag,3,Layer 2 (추론),2395,522.1252849740933,11.538533451667147,541.26,500.72,1250490.0575129536,522.1252849740933,2.0,436500.0,182.25469728601252,2864811.128322918,,,,
eps32-c3-supermini_profiles_accel+gyro+mag.csv,accel+gyro+mag,6,Transmission (전송),11791,673.7775,234.86482451158398,1032.02,491.36,7944510.5025,673.7775,,,,,256.0,31033244.150390625,,
eps32-c3-supermini_profiles_accel+gyro+mag.csv,accel+gyro+mag,7,Sensing (accel+gyro+mag),9320,505.950564516129,13.918202752341324,533.66,439.26,4715459.261290322,505.950564516129,,,,,,,1517851.6935483871,1517.8516935483872
eps32-c3-supermini_profiles_accel+gyro.csv,accel+gyro,2,Layer 1 (추론),1590,487.47410852713176,2.4802723553835464,498.97,481.96,775083.8325581395,487.47410852713176,1.0,291000.0,183.0188679245283,2663518.3249420603,,,,
eps32-c3-supermini_profiles_accel+gyro.csv,accel+gyro,3,Layer 2 (추론),2345,488.3988947368421,2.848300958229203,506.19,484.03,1145295.4081578949,488.3988947368421,2.0,436500.0,186.1407249466951,2623815.3680593236,,,,
eps32-c3-supermini_profiles_accel+gyro.csv,accel+gyro,4,Layer 3 (추론),3125,489.94786561264823,2.7383772041169023,505.69,476.92,1531087.0800395256,489.94786561264823,3.0,582000.0,186.24,2630733.8145009032,,,,
eps32-c3-supermini_profiles_accel+gyro.csv,accel+gyro,5,Layer 4 (추론),3906,489.75977848101263,2.7150344991778526,502.16,474.07,1913001.6947468354,489.75977848101263,4.0,727500.0,186.25192012288787,2629555.5941537255,,,,
eps32-c3-supermini_profiles_accel+gyro.csv,accel+gyro,6,Transmission (전송),21821,440.6587647058823,69.0676570040359,974.4,424.73,9615614.904647058,440.6587647058823,,,,,256.0,37560995.72127757,,
