Sensor_Type,Mode,Layer_ID,Duration_ms,Power_Mean_mW,Power_Std_mW,Power_Max_mW,Power_Min_mW,Total_Energy_mJ,Energy_per_ms_mW,FLOPs,FLOPs_per_ms,Energy_per_MFLOP_mJ
accel+gyro+mag,1,0.0,843,520.17,11.25,542.28,500.72,438499.59,520.17,232800.0,276.16,1883589.31
accel+gyro+mag,2,1.0,1613,523.75,11.06,548.94,502.64,844810.36,523.75,291000.0,180.41,2903128.4
accel+gyro+mag,3,2.0,2395,522.13,11.54,541.26,500.72,1250490.06,522.13,436500.0,182.25,2864811.13
accel+gyro,2,1.0,1590,487.47,2.48,498.97,481.96,775083.83,487.47,291000.0,183.02,2663518.32
accel+gyro,3,2.0,2345,488.4,2.85,506.19,484.03,1145295.41,488.4,436500.0,186.14,2623815.37
accel+gyro,4,3.0,3125,489.95,2.74,505.69,476.92,1531087.08,489.95,582000.0,186.24,2630733.81
accel+gyro,5,4.0,3906,489.76,2.72,502.16,474.07,1913001.69,489.76,727500.0,186.25,2629555.59
accel_only,1,0.0,30263,472.56,4.84,488.84,414.96,14301115.76,472.56,232800.0,7.69,61430909.61
accel_only,2,1.0,59576,473.25,4.29,491.38,421.04,28194086.01,473.25,291000.0,4.88,96886893.5
accel_only,3,2.0,60351,472.53,2.82,487.06,459.27,28517372.54,472.53,436500.0,7.23,65331895.86
accel_only,4,3.0,32147,473.6,2.7,489.42,466.48,15224818.57,473.6,582000.0,18.1,26159482.08
accel_only,5,4.0,32938,473.16,2.47,486.66,467.35,15584903.42,473.16,727500.0,22.09,21422547.66
gyro+mag,1,0.0,32405,520.44,10.55,539.86,499.36,16864941.93,520.44,232800.0,7.18,72443908.62
gyro+mag,2,1.0,65779,520.32,11.32,545.47,488.88,34226143.09,520.32,291000.0,4.42,117615612.0
gyro+mag,3,2.0,64614,520.31,10.77,540.44,495.04,33619086.42,520.31,436500.0,6.76,77019671.06
gyro+mag,4,3.0,65424,521.99,10.75,544.39,499.97,34150870.79,521.99,582000.0,8.9,58678472.15
gyro+mag,5,4.0,66135,520.76,10.87,543.16,499.28,34440239.13,520.76,727500.0,11.0,47340534.89
no-sensing,1,0.0,99383,282.25,236.93,503.29,-3.62,28051321.88,282.25,232800.0,2.34,120495368.88
no-sensing,2,1.0,80156,485.68,3.17,501.66,467.64,38930034.85,485.68,291000.0,3.63,133780188.49
no-sensing,3,2.0,80949,484.71,4.11,507.73,460.66,39236963.59,484.71,436500.0,5.39,89889950.96
no-sensing,4,3.0,81746,485.67,3.39,508.33,467.23,39701358.31,485.67,582000.0,7.12,68215392.29
no-sensing,5,4.0,82532,484.95,2.8,505.2,467.58,40023787.27,484.95,727500.0,8.81,55015515.15
ultrasonic,1,0.0,31033,504.39,2.6,514.0,496.27,15652591.2,504.39,232800.0,7.5,67236216.49
ultrasonic,2,1.0,62700,505.29,3.28,527.16,494.25,31681799.11,505.29,291000.0,4.64,108872161.89
ultrasonic,3,2.0,62749,504.67,3.26,524.63,487.66,31667701.16,504.67,436500.0,6.96,72549143.56
ultrasonic,4,3.0,62826,506.29,3.16,525.64,492.61,31808020.61,506.29,582000.0,9.26,54652956.37
ultrasonic,5,4.0,61015,505.11,3.11,524.63,487.93,30819548.04,505.11,727500.0,11.92,42363639.92
