sender_id,receiver_id,distance_m,delivery_cnt,pdr,100pct,any_pct
0,1,227.127,199,0.995,False,True
0,2,547.505,184,0.92,False,True
0,3,456.749,194,0.97,False,True
0,4,291.103,200,1.0,True,True
0,5,135.285,200,1.0,True,True
0,6,196.228,199,0.995,False,True
0,7,467.183,190,0.95,False,True
0,8,319.455,199,0.995,False,True
0,9,196.174,200,1.0,True,True
0,10,271.154,199,0.995,False,True
0,11,672.755,172,0.86,False,True
0,12,462.045,193,0.965,False,True
0,13,151.864,200,1.0,True,True
0,14,237.458,200,1.0,True,True
0,15,525.051,189,0.945,False,True
0,16,757.772,167,0.835,False,True
0,17,379.583,196,0.98,False,True
0,18,608.614,174,0.87,False,True
0,19,484.345,191,0.955,False,True
0,20,293.722,196,0.98,False,True
0,21,485.409,191,0.955,False,True
0,22,135.377,200,1.0,True,True
0,23,487.087,189,0.945,False,True
0,24,597.404,171,0.855,False,True
0,25,346.897,195,0.975,False,True
0,26,346.477,196,0.98,False,True
0,27,238.695,200,1.0,True,True
0,28,357.55,198,0.99,False,True
0,29,292.942,199,0.995,False,True
0,30,695.367,162,0.81,False,True
0,31,179.305,200,1.0,True,True
0,32,257.163,200,1.0,True,True
0,33,306.782,199,0.995,False,True
0,34,250.269,200,1.0,True,True
0,35,618.28,181,0.905,False,True
0,36,390.186,196,0.98,False,True
0,37,310.274,200,1.0,True,True
0,38,239.872,200,1.0,True,True
0,39,443.382,187,0.935,False,True
0,40,662.254,167,0.835,False,True
0,41,213.133,200,1.0,True,True
0,42,140.091,200,1.0,True,True
0,43,161.511,200,1.0,True,True
0,44,661.652,165,0.825,False,True
0,45,331.663,198,0.99,False,True
0,46,670.33,168,0.84,False,True
0,47,329.427,198,0.99,False,True
0,48,445.926,191,0.955,False,True
0,49,257.973,199,0.995,False,True
0,50,336.401,198,0.99,False,True
0,51,486.559,185,0.925,False,True
0,52,221.154,200,1.0,True,True
0,53,433.163,190,0.95,False,True
0,54,286.609,200,1.0,True,True
0,55,357.448,200,1.0,True,True
0,56,215.764,200,1.0,True,True
0,57,399.276,192,0.96,False,True
0,58,563.188,180,0.9,False,True
0,59,52.553,200,1.0,True,True
0,60,377.157,195,0.975,False,True
0,61,392.331,195,0.975,False,True
0,62,237.594,200,1.0,True,True
0,63,317.917,197,0.985,False,True
0,64,305.961,198,0.99,False,True
0,65,480.912,193,0.965,False,True
0,66,662.403,160,0.8,False,True
0,67,414.4,196,0.98,False,True
0,68,363.61,197,0.985,False,True
0,69,262.981,200,1.0,True,True
0,70,594.963,172,0.86,False,True
0,71,448.305,196,0.98,False,True
0,72,335.904,199,0.995,False,True
0,73,496.11,189,0.945,False,True
0,74,365.87,194,0.97,False,True
0,75,371.539,196,0.98,False,True
0,76,248.343,200,1.0,True,True
0,77,613.417,176,0.88,False,True
0,78,601.23,171,0.855,False,True
0,79,375.688,198,0.99,False,True
0,80,514.094,182,0.91,False,True
0,81,332.876,193,0.965,False,True
0,82,152.745,200,1.0,True,True
0,83,320.253,198,0.99,False,True
0,84,504.023,188,0.94,False,True
0,85,447.022,192,0.96,False,True
0,86,358.606,198,0.99,False,True
0,87,543.346,186,0.93,False,True
0,88,510.249,192,0.96,False,True
0,89,211.7,200,1.0,True,True
0,90,330.544,200,1.0,True,True
0,91,407.679,191,0.955,False,True
0,92,730.974,147,0.735,False,True
0,93,614.925,169,0.845,False,True
0,94,466.349,192,0.96,False,True
0,95,391.638,194,0.97,False,True
0,96,165.684,200,1.0,True,True
0,97,691.354,158,0.79,False,True
0,98,369.011,195,0.975,False,True
0,99,711.77,153,0.765,False,True
1,0,227.127,200,1.0,True,True
1,2,643.339,169,0.845,False,True
1,3,392.983,193,0.965,False,True
1,4,180.324,200,1.0,True,True
1,5,223.102,200,1.0,True,True
1,6,413.322,192,0.96,False,True
1,7,420.529,198,0.99,False,True
1,8,116.025,200,1.0,True,True
1,9,207.406,199,0.995,False,True
1,10,357.537,197,0.985,False,True
1,11,650.114,174,0.87,False,True
1,12,336.921,196,0.98,False,True
1,13,347.585,198,0.99,False,True
1,14,357.286,199,0.995,False,True
1,15,703.528,151,0.755,False,True
1,16,916.523,115,0.575,False,True
