sender_id,receiver_id,distance_m,delivery_cnt,pdr,100pct,any_del
0,1,227.127,300,1.0,True,True
0,2,547.505,283,0.94333,False,True
0,3,456.749,295,0.98333,False,True
0,4,291.103,300,1.0,True,True
0,5,135.285,300,1.0,True,True
0,6,196.228,300,1.0,True,True
0,7,467.183,297,0.99,False,True
0,8,319.455,300,1.0,True,True
0,9,196.174,300,1.0,True,True
0,10,271.154,300,1.0,True,True
0,11,672.755,243,0.81,False,True
0,12,462.045,299,0.99667,False,True
0,13,151.864,300,1.0,True,True
0,14,237.458,300,1.0,True,True
0,15,525.051,285,0.95,False,True
0,16,757.772,210,0.7,False,True
0,17,379.583,299,0.99667,False,True
0,18,608.614,274,0.91333,False,True
0,19,484.345,288,0.96,False,True
0,20,293.722,300,1.0,True,True
0,21,485.409,297,0.99,False,True
0,22,135.377,300,1.0,True,True
0,23,487.087,295,0.98333,False,True
0,24,597.404,276,0.92,False,True
0,25,346.897,300,1.0,True,True
0,26,346.477,300,1.0,True,True
0,27,238.695,300,1.0,True,True
0,28,357.55,300,1.0,True,True
0,29,292.942,299,0.99667,False,True
0,30,695.367,248,0.82667,False,True
0,31,179.305,300,1.0,True,True
0,32,257.163,300,1.0,True,True
0,33,306.782,300,1.0,True,True
0,34,250.269,300,1.0,True,True
0,35,618.28,260,0.86667,False,True
0,36,390.186,299,0.99667,False,True
0,37,310.274,300,1.0,True,True
0,38,239.872,300,1.0,True,True
0,39,443.382,293,0.97667,False,True
0,40,662.254,263,0.87667,False,True
0,41,213.133,300,1.0,True,True
0,42,140.091,300,1.0,True,True
0,43,161.511,300,1.0,True,True
0,44,661.652,263,0.87667,False,True
0,45,331.663,298,0.99333,False,True
0,46,670.33,247,0.82333,False,True
0,47,329.427,300,1.0,True,True
0,48,445.926,297,0.99,False,True
0,49,257.973,300,1.0,True,True
0,50,336.401,300,1.0,True,True
0,51,486.559,292,0.97333,False,True
0,52,221.154,300,1.0,True,True
0,53,433.163,298,0.99333,False,True
0,54,286.609,300,1.0,True,True
0,55,357.448,300,1.0,True,True
0,56,215.764,300,1.0,True,True
0,57,399.276,298,0.99333,False,True
0,58,563.188,279,0.93,False,True
0,59,52.553,300,1.0,True,True
0,60,377.157,297,0.99,False,True
