tree_id,name,source_prefab_name,source_prefab_index,source_prefab_path,x,y,z,rotation_y,scale_x,scale_y,scale_z,height,radius,bbox_size_x,bbox_size_y,bbox_size_z,renderer_count,collider_count
0,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,979.1766,101.8470,578.9557,116.5164,1.0000,1.0000,1.0000,23.5764,12.3626,24.7252,23.5764,24.3830,1,1
1,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,699.3431,137.0256,363.2289,162.4377,1.0000,1.0000,1.0000,22.8586,11.2567,22.5133,22.8586,20.6516,1,1
2,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,939.2785,97.2359,381.1061,23.4263,1.0000,1.0000,1.0000,23.5764,12.1372,23.8775,23.5764,24.2744,1,1
3,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,223.0124,126.4229,628.6396,289.3204,1.0000,1.0000,1.0000,23.5764,11.7832,23.5664,23.5764,23.0987,1,1
4,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,665.7893,139.0473,132.0521,1.5945,1.0000,1.0000,1.0000,20.4645,10.7211,19.1674,20.4645,21.4422,1,1
5,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,359.9859,125.8879,455.1555,180.1327,1.0000,1.0000,1.0000,23.5764,9.3649,17.9684,23.5764,18.7298,1,1
6,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,111.3928,96.7212,528.2870,88.0438,1.0000,1.0000,1.0000,23.5764,9.6447,19.2893,23.5764,18.5526,1,1
7,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,968.6384,118.2899,814.3027,342.5581,1.0000,1.0000,1.0000,22.8586,11.2468,22.4935,22.8586,20.6242,1,1
8,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,692.7067,131.0606,424.7398,28.3886,1.0000,1.0000,1.0000,22.8586,11.9403,23.8806,22.8586,22.7255,1,1
9,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,524.5092,141.5082,640.9659,94.3845,1.0000,1.0000,1.0000,22.4601,10.7664,17.0361,22.4601,21.5328,1,1
