node_id,x,y,z,state,battery_j
99,921.4035,149.3464,884.3140,Sensing,295.5085
98,552.3743,119.7775,193.9375,Sensing,295.5079
97,974.1001,112.3458,237.3378,Sensing,295.5086
96,463.0425,129.6795,587.0183,Sensing,295.5086
95,461.3431,118.6769,119.4336,Sensing,295.5086
94,784.9222,123.3595,386.0739,Sensing,295.5084
93,932.4937,93.2612,611.0421,Sensing,295.5079
92,934.2752,119.6270,77.1592,Sensing,295.5079
91,147.5740,140.6156,123.7441,Sensing,295.5085
90,416.6593,119.9512,169.4022,Sensing,295.5086
89,504.8030,140.1043,607.6811,Sensing,295.5086
88,705.4303,157.3320,833.8416,Sensing,295.5086
87,834.8608,87.8317,287.6925,Sensing,295.5085
86,181.3024,108.5879,814.7210,Sensing,295.5086
85,471.0026,116.9252,912.5438,Sensing,295.5086
84,723.1070,158.4922,803.7246,Sensing,295.5086
83,338.3747,138.1061,168.2235,Sensing,295.5086
82,235.3025,114.2316,608.2685,Sensing,295.5086
81,625.1124,113.3854,334.5020,Sensing,295.5086
80,830.4058,104.8192,605.9097,Sensing,295.5079
79,352.7072,137.8129,113.3681,Sensing,295.5086
78,920.7573,101.9415,377.0062,Sensing,295.5079
77,763.8367,160.7756,54.7699,Sensing,295.5086
76,205.9969,157.3196,703.5742,Sensing,295.5086
75,99.5386,110.0827,779.8461,Sensing,295.5084
74,109.1556,119.7072,196.6125,Sensing,295.5086
73,777.7444,95.2119,274.8530,Sensing,295.5086
72,415.8330,122.3014,163.6314,Sensing,295.5086
71,303.0199,110.8330,40.8683,Sensing,295.5086
70,842.4569,109.4354,790.5201,Sensing,295.5086
69,140.7978,118.1191,671.0887,Sensing,295.5086
68,254.7370,132.5184,844.1157,Sensing,295.5079
67,294.5268,120.2438,901.2506,Sensing,295.5086
66,922.0574,128.2509,191.4421,Sensing,295.5086
65,760.1157,102.9822,273.3838,Sensing,295.5084
64,135.8378,136.4700,724.8827,Sensing,295.5086
63,103.4629,122.9923,711.4888,Sensing,295.5085
62,306.1716,118.7474,251.9620,Sensing,295.5085
61,189.4492,154.5568,122.0478,Sensing,295.5085
60,96.6028,126.3609,192.0446,Sensing,295.5086
59,379.7530,122.9398,471.6471,Sensing,295.5086
58,774.2807,146.4509,834.3910,Sensing,295.5079
57,705.6040,130.6875,353.1230,Sensing,295.5086
56,206.3226,125.3565,311.5169,Sensing,295.5084
55,687.2740,141.9672,497.0006,Sensing,295.5086
54,55.1105,129.8526,407.0077,Sensing,295.5079
53,747.4565,140.0816,373.0302,Sensing,295.5079
52,109.4914,121.8837,470.5905,Sensing,295.5086
51,62.1107,154.6441,894.5828,Sensing,295.5086
50,320.5911,151.9830,152.0942,Sensing,295.5086
49,390.2818,126.6025,237.5516,Sensing,295.5079
48,743.2007,117.1430,320.8619,Sensing,295.5085
47,22.3287,125.3242,370.4514,Sensing,295.5079
46,953.9042,114.0966,243.4195,Sensing,295.5079
45,275.1926,147.9230,815.4800,Sensing,295.5086
44,835.2197,142.1824,61.2051,Sensing,295.5085
43,441.6125,135.5887,605.0396,Sensing,295.5079
42,411.3048,112.3301,374.3318,Sensing,295.5086
41,351.9570,127.4079,700.3574,Sensing,295.5085
40,952.8640,99.6736,713.1638,Sensing,295.5086
39,633.6716,133.0081,811.3655,Sensing,295.5079
38,118.5984,159.7282,374.8874,Sensing,295.5079
37,616.6792,133.6661,606.8762,Sensing,295.5086
36,242.1887,149.0650,108.1731,Sensing,295.5086
35,909.6320,84.7422,703.3440,Sensing,295.5079
34,220.1985,159.6094,713.2953,Sensing,295.5086
33,254.7606,161.7753,785.7955,Sensing,295.5086
32,138.9002,119.0990,660.5296,Sensing,295.5086
31,506.2660,131.3706,520.8590,Sensing,295.5084
30,916.6844,138.4554,115.1967,Sensing,295.5086
29,431.9189,124.9086,213.7511,Sensing,295.5086
28,616.8878,133.5140,275.0642,Sensing,295.5086
27,565.3052,130.3918,448.6916,Sensing,295.5086
26,673.7013,129.6023,445.1523,Sensing,295.5086
25,342.0505,139.0745,141.6807,Sensing,295.5086
24,927.2853,111.7456,480.7086,Sensing,295.5079
23,773.9213,96.5823,688.6789,Sensing,295.5086
22,304.8326,113.5839,621.3955,Sensing,295.5086
21,488.3782,116.3548,29.5446,Sensing,295.5086
20,127.1521,124.0579,700.8590,Sensing,295.5079
19,809.0540,134.3926,417.4418,Sensing,295.5084
18,927.0815,97.5709,370.8001,Sensing,295.5085
17,374.9873,129.6477,865.2644,Sensing,295.5086
16,945.1302,155.9609,930.7982,Sensing,295.5079
15,720.6597,159.6720,839.0916,Sensing,295.5086
14,98.8173,96.1347,542.8909,Sensing,295.5079
13,222.1143,115.5222,595.3159,Sensing,295.5079
12,633.1223,121.0801,139.7105,Sensing,295.5086
11,968.8941,88.8109,277.8308,Sensing,295.5086
10,600.9913,114.6411,481.2863,Sensing,295.5086
9,491.3418,121.5316,376.8725,Sensing,295.5086
8,232.5342,133.2721,184.1194,Sensing,295.5086
7,739.5090,121.7309,263.6323,Sensing,295.5085
6,421.5313,109.5010,661.9014,Sensing,295.5086
5,455.4810,146.4561,437.9778,Sensing,295.5086
4,499.0267,100.4423,251.4106,Sensing,295.5085
3,711.1939,135.8379,236.8556,Sensing,295.5086
2,865.8625,93.7968,600.3389,Sensing,295.5086
1,318.9850,114.9330,261.5026,Sensing,295.5079
0,329.9301,113.4436,488.3654,Sensing,295.5086
